epoch,accuracy,loss,val_accuracy,val_loss
0,0.36894547939300537,1.325741171836853,0.469740629196167,1.2689381837844849
1,0.6551342606544495,0.9824293255805969,0.6340057849884033,0.9146029353141785
2,0.7979518175125122,0.5821223855018616,0.6974063515663147,0.7934775352478027
3,0.8516468405723572,0.4123731851577759,0.6714697480201721,0.8116446137428284
4,0.8826460242271423,0.32645437121391296,0.6772334575653076,0.8487219214439392
5,0.9022972583770752,0.2737085819244385,0.6657060384750366,0.9313513040542603
6,0.9302518963813782,0.2196638584136963,0.6628242135047913,0.9630661606788635
7,0.9410462379455566,0.18446685373783112,0.6714697480201721,1.031955599784851
8,0.9510102272033691,0.15718010067939758,0.6599423885345459,1.0785443782806396
9,0.9637420177459717,0.13124316930770874,0.6541786789894104,1.1279345750808716
10,0.9659562706947327,0.12197717279195786,0.6570605039596558,1.206526517868042
11,0.9665098190307617,0.1155306026339531,0.6541786789894104,1.2274081707000732
12,0.9692776203155518,0.10297402739524841,0.6599423885345459,1.2805556058883667
13,0.9706615209579468,0.0940294861793518,0.6541786789894104,1.328108549118042
14,0.9703847169876099,0.09191547334194183,0.6628242135047913,1.3681434392929077
15,0.9723221659660339,0.08758378773927689,0.6340057849884033,1.4139422178268433
16,0.974259614944458,0.08117319643497467,0.6455331444740295,1.4304018020629883
17,0.977027416229248,0.07241513580083847,0.6340057849884033,1.4836280345916748
18,0.973706066608429,0.08390863239765167,0.6340057849884033,1.4747629165649414
19,0.9748131632804871,0.072049580514431,0.6368876099586487,1.5571311712265015
20,0.9759202599525452,0.07603015005588531,0.6714697480201721,1.5181735754013062
21,0.975643515586853,0.06715252250432968,0.6368876099586487,1.5717599391937256
22,0.977027416229248,0.06594650447368622,0.6368876099586487,1.5547513961791992
23,0.9775809645652771,0.061801373958587646,0.6311239004135132,1.6669552326202393
24,0.9759202599525452,0.06214634329080582,0.639769434928894,1.6189582347869873
