epoch,accuracy,loss,val_accuracy,val_loss
0,0.43795642256736755,1.5268768072128296,0.49967578053474426,1.3802341222763062
1,0.48717325925827026,1.4006476402282715,0.5177622437477112,1.3231191635131836
2,0.5042997002601624,1.3530017137527466,0.5357983708381653,1.280263066291809
3,0.517488420009613,1.3188202381134033,0.5469694137573242,1.250108242034912
4,0.5275672078132629,1.292840838432312,0.5561889410018921,1.2284208536148071
5,0.5364940166473389,1.2710659503936768,0.562178909778595,1.2116174697875977
6,0.5443757772445679,1.2526646852493286,0.5713291764259338,1.1894099712371826
7,0.551325798034668,1.235833764076233,0.5757705569267273,1.175794005393982
8,0.5572024583816528,1.2214555740356445,0.5831108689308167,1.1632038354873657
9,0.5624464750289917,1.2086989879608154,0.5874546766281128,1.1503037214279175
10,0.5678730607032776,1.196851134300232,0.5926388502120972,1.1376289129257202
11,0.5711749792098999,1.1864604949951172,0.5933817028999329,1.1358702182769775
12,0.575559675693512,1.1762034893035889,0.5987579226493835,1.1211879253387451
13,0.579258143901825,1.1670979261398315,0.6014806628227234,1.1152514219284058
14,0.582352340221405,1.15897536277771,0.6057016849517822,1.104595422744751
